0,2643,2642,0
1,2643,2,5
2,535,1126,10
3,202,1369,15
4,592,258,20
5,479,544,25
6,832,2376,30
7,939,1518,35
8,1359,1662,40
9,975,22,45
10,353,1619,50
11,2097,1823,55
12,2410,1425,60
13,1543,790,65
14,760,1840,70
15,60,53,75
16,2055,938,80
17,2154,810,85
18,1642,309,90
19,362,1580,95
20,2197,732,100
21,2558,1346,105
22,908,2279,110
23,1191,2331,115
24,761,2205,120
25,1884,245,125
26,2323,1617,130
27,1075,741,135
28,1375,279,140
29,2060,2434,145
30,342,2397,150
31,2387,2177,155
32,1595,912,160
33,2509,1644,165
34,1190,447,170
35,783,1298,175
36,1575,102,180
37,1734,883,185
38,1456,690,190
39,2428,2164,195
40,1366,477,200
41,219,1125,205
42,1232,890,210
43,389,156,215
44,54,1363,220
45,1921,458,225
46,794,1971,230
47,68,1472,235
48,2365,1273,240
49,506,950,245
50,1676,2073,250
51,1245,2013,255
52,627,1614,260
53,1285,1559,265
54,2080,879,270
55,245,672,275
56,825,568,280
57,803,1285,285
58,794,1717,290
59,148,1982,295
60,1903,1248,300
61,2199,1713,305
62,1967,1522,310
63,1403,2308,315
64,724,1341,320
65,1297,2411,325
66,251,283,330
67,816,862,335
68,1794,2543,340
69,835,832,345
70,2100,789,350
71,1238,663,355
72,1236,0,360
73,495,1613,365
74,1606,953,370
75,631,1685,375
76,2346,1188,380
77,1952,2444,385
78,291,315,390
79,254,2127,395
80,2536,334,400
81,189,1833,405
82,2121,377,410
83,325,464,415
84,1222,584,420
85,1723,761,425
86,1935,1099,430
87,640,2540,435
88,2169,2239,440
89,1354,1275,445
90,1697,1769,450
91,2640,712,455
92,2158,1414,460
93,2492,32,465
94,1349,881,470
95,2068,78,475
96,138,2586,480
97,1764,1587,485
98,1062,1703,490
99,1356,1764,495
100,2355,1400,500
101,2206,2233,505
102,648,1608,510
103,2452,1722,515
104,1590,988,520
105,276,2292,525
106,2580,130,530
107,1220,1451,535
108,1865,1433,540
109,2511,1684,545
110,2382,509,550
111,2298,1932,555
112,2049,1903,560
113,749,657,565
114,70,243,570
115,1795,2008,575
116,950,1413,580
117,1074,1651,585
118,1500,2618,590
119,2413,1429,595
120,13,769,600
121,1751,864,605
122,1020,1107,610
123,1620,1366,615
124,522,2462,620
125,1737,1844,625
126,1237,1170,630
127,1065,2486,635
128,2471,38,640
129,1045,2191,645
130,2422,2063,650
131,847,2602,655
132,1853,1608,660
133,1355,804,665
134,1110,1596,670
135,1577,583,675
136,2132,2104,680
137,1216,2306,685
138,2140,139,690
139,396,1975,695
140,740,858,700
141,1736,2101,705
142,604,418,710
143,2371,2364,715
144,856,1347,720
145,699,417,725
146,1876,2105,730
147,877,936,735
148,1982,2474,740
149,568,709,745
150,2020,2632,750
151,1038,2278,755
152,867,2037,760
153,875,1251,765
154,1419,1958,770
155,374,2144,775
156,593,588,780
157,2325,656,785
158,1834,1404,790
159,1469,2574,795
160,1629,625,800
161,2231,1897,805
162,1151,1087,810
163,1440,11,815
164,2353,311,820
165,1143,2533,825
166,571,1380,830
167,401,366,835
168,585,2014,840
169,756,2453,845
170,2258,502,850
171,356,497,855
172,1622,1564,860
173,1398,829,865
174,221,1745,870
175,559,2028,875
176,2189,1849,880
177,1293,112,885
178,1763,568,890
179,2312,970,895
180,38,499,900
181,1339,2006,905
182,1114,173,910
183,1803,2551,915
184,167,1005,920
185,139,1226,925
186,1220,1011,930
187,1880,980,935
188,823,2358,940
189,1051,978,945
190,1708,1883,950
191,1212,34,955
192,328,412,960
193,2338,2138,965
194,1768,1450,970
195,859,114,975
196,1480,183,980
197,1472,1891,985
198,2019,369,990
199,697,2079,995
200,2135,1717,1000
201,1426,1240,1005
202,2189,1147,1010
203,59,1756,1015
204,619,1459,1020
205,1193,1941,1025
206,2453,2452,1030
207,1003,852,1035
208,14,539,1040
209,1610,1810,1045
210,410,22,1050
211,321,1501,1055
212,1011,195,1060
213,1159,15,1065
214,637,718,1070
215,298,1220,1075
216,477,2103,1080
217,1888,90,1085
218,2300,991,1090
219,1425,777,1095
220,1081,531,1100
